Data Set 2:Time(s),Data Set 2:Force 1(N),Data Set 2:Force 2(N),Total Force,Integral of force,,
2.02,-0.14667511,-0.023132324,0.169807434,,,
2.025,-0.150863647,-0.027336121,0.178199768,,,
2.03,-0.142486572,-0.031539917,0.174026489,,,
2.035,-0.152961731,-0.031539917,0.184501648,,,
2.04,-0.142486572,-0.025238037,0.167724609,,,
2.045,-0.150863647,-0.03364563,0.184509277,,,
2.05,-0.140388489,-0.027336121,0.16772461,,,
2.055,-0.148773193,-0.035751343,0.184524536,,,
2.06,-0.150863647,-0.018928528,0.169792175,,,
2.065,-0.155059814,-0.014724731,0.169784545,,,
2.07,-0.155059814,-0.016822815,0.171882629,,,
2.075,-0.159248352,-0.03364563,0.192893982,,,
2.08,-0.157150269,-0.027336121,0.18448639,,,
2.085,-0.16343689,-0.031539917,0.194976807,,,
2.09,-0.161346436,-0.03364563,0.194992066,,,
2.095,-0.159248352,-0.037849426,0.197097778,,,
2.1,-0.148773193,-0.025238037,0.17401123,,,
2.105,-0.157150269,-0.029441833,0.186592102,,,
2.11,-0.159248352,-0.039955139,0.199203491,,,
2.115,-0.155059814,-0.03364563,0.188705444,,,
2.12,-0.167633057,-0.039955139,0.207588196,,,
2.125,-0.152961731,-0.037849426,0.190811157,,,
2.13,-0.14667511,-0.025238037,0.171913147,,,
2.135,-0.161346436,-0.029441833,0.190788269,,,
2.14,-0.157150269,-0.027336121,0.18448639,,,
2.145,-0.14667511,-0.035751343,0.182426453,,,
2.15,-0.14667511,-0.035751343,0.182426453,,,
2.155,-0.148773193,-0.031539917,0.18031311,,,
2.16,-0.148773193,-0.021026611,0.169799804,,,
2.165,-0.152961731,-0.006309509,0.15927124,,,
2.17,-0.152961731,-0.025238037,0.178199768,,,
2.175,-0.157150269,-0.023132324,0.180282593,,,
2.18,-0.155059814,-0.031539917,0.186599731,,,
2.185,-0.144577026,-0.031539917,0.176116943,,,
2.19,-0.150863647,-0.029441833,0.18030548,,,
2.195,-0.155059814,-0.035751343,0.190811157,,,
2.2,-0.150863647,-0.042060852,0.192924499,,,
2.205,-0.161346436,-0.042060852,0.203407288,,,
2.21,-0.161346436,-0.039955139,0.201301575,,,
2.215,-0.157150269,-0.037849426,0.194999695,,,
2.22,-0.157150269,-0.008415222,0.165565491,,,
2.225,-0.159248352,-0.025238037,0.184486389,,,
2.23,-0.152961731,-0.027336121,0.180297852,,,
2.235,-0.148773193,-0.027336121,0.176109314,,,
2.24,-0.157150269,-0.037849426,0.194999695,,,
2.245,-0.155059814,-0.039955139,0.195014953,,,
2.25,-0.161346436,-0.03364563,0.194992066,,,
2.255,-0.155059814,-0.031539917,0.186599731,,,
2.26,-0.157150269,-0.03364563,0.190795899,,,
2.265,-0.155059814,-0.004203796,0.15926361,,,
2.27,-0.157150269,-0.016822815,0.173973084,,,
2.275,-0.155059814,-0.025238037,0.180297851,,,
2.28,-0.155059814,-0.027336121,0.182395935,,,
2.285,-0.159248352,-0.029441833,0.188690185,,,
2.29,-0.159248352,-0.037849426,0.197097778,,,
2.295,-0.165534973,-0.039955139,0.205490112,,,
2.3,-0.161346436,-0.037849426,0.199195862,,,
2.305,-0.157150269,-0.039955139,0.197105408,,,
2.31,-0.14667511,-0.025238037,0.171913147,,,
2.315,-0.159248352,-0.029441833,0.188690185,,,
2.32,-0.159248352,-0.027336121,0.186584473,,,
2.325,-0.16343689,-0.037849426,0.201286316,,,
2.33,-0.161346436,-0.029441833,0.190788269,,,
2.335,-0.148773193,-0.027336121,0.176109314,,,
2.34,-0.155059814,-0.029441833,0.184501647,,,
2.345,-0.167633057,-0.042060852,0.209693909,,,
2.35,-0.159248352,-0.031539917,0.190788269,,,
2.355,-0.150863647,-0.037849426,0.188713073,,,
2.36,-0.152961731,-0.027336121,0.180297852,,,
2.365,-0.152961731,-0.035751343,0.188713074,,,
2.37,-0.148773193,0.010513306,0.138259887,,,
2.375,-0.16343689,-0.008415222,0.171852112,,,
2.38,-0.148773193,-0.016822815,0.165596008,,,
2.385,-0.152961731,-0.027336121,0.180297852,,,
2.39,-0.161346436,-0.03364563,0.194992066,,,
2.395,-0.150863647,-0.03364563,0.184509277,,,
2.4,-0.150863647,-0.023132324,0.173995971,,,
2.405,-0.159248352,-0.029441833,0.188690185,,,
2.41,-0.159248352,-0.03364563,0.192893982,,,
2.415,-0.157150269,-0.039955139,0.197105408,,,
2.42,-0.16343689,-0.03364563,0.19708252,,,
2.425,-0.165534973,-0.037849426,0.203384399,,,
2.43,-0.159248352,0,0.159248352,,,
2.435,-0.16343689,-0.012619019,0.176055909,,,
2.44,-0.159248352,-0.029441833,0.188690185,,,
2.445,-0.157150269,-0.029441833,0.186592102,,,
2.45,-0.161346436,-0.03364563,0.194992066,,,
2.455,-0.157150269,-0.031539917,0.188690186,,,
2.46,-0.157150269,-0.035751343,0.192901612,,,
2.465,-0.159248352,-0.03364563,0.192893982,,,
2.47,-0.161346436,-0.035751343,0.197097779,,,
2.475,-0.16343689,0.006309509,0.157127381,,,
2.48,-0.165534973,-0.008415222,0.173950195,,,
2.485,-0.161346436,-0.023132324,0.18447876,,,
2.49,-0.159248352,-0.025238037,0.184486389,,,
2.495,-0.169723511,-0.03364563,0.203369141,,,
2.5,-0.165534973,-0.029441833,0.194976806,,,
2.505,-0.159248352,-0.03364563,0.192893982,,,
2.51,-0.167633057,-0.03364563,0.201278687,,,
2.515,-0.159248352,-0.031539917,0.190788269,,,
2.52,-0.152961731,-0.014724731,0.167686462,,,
2.525,-0.152961731,-0.023132324,0.176094055,,,
2.53,-0.155059814,-0.021026611,0.176086425,,,
2.535,-0.148773193,-0.027336121,0.176109314,,,
2.54,-0.148773193,-0.031539917,0.18031311,,,
2.545,-0.150863647,-0.027336121,0.178199768,,,
2.55,-0.157150269,-0.027336121,0.18448639,,,
