Data Set 5:Time(s),Data Set 5:Force 1(N),Data Set 5:Force 2(N),
2.575,-0.5217514,-0.4100494,0.9318008
2.58,-0.5154648,-0.405838,0.9213028
2.585,-0.5154648,-0.4079437,0.9234085
2.59,-0.5238419,-0.4142532,0.9380951
2.595,-0.5259399,-0.4163589,0.9422988
2.6,-0.5259399,-0.4121475,0.9380874
2.605,-0.5196533,-0.4121475,0.9318008
2.61,-0.5070801,-0.3806076,0.8876877
2.615,-0.5112686,-0.3953247,0.9065933
2.62,-0.5217514,-0.4079437,0.9296951
2.625,-0.5259399,-0.3679886,0.8939285
2.63,-0.5259399,-0.3848114,0.9107513
2.635,-0.5196533,-0.3974304,0.9170837
2.64,-0.5154648,-0.3974304,0.9128952
2.645,-0.5133667,-0.4100494,0.9234161
2.65,-0.5112686,-0.4079437,0.9192123
2.655,-0.5091782,-0.4100494,0.9192276
2.66,-0.5154648,-0.405838,0.9213028
2.665,-0.5217514,-0.4016342,0.9233856
2.67,-0.5196533,-0.405838,0.9254913
2.675,-0.5196533,-0.405838,0.9254913
2.68,-0.5217514,-0.4079437,0.9296951
2.685,-0.528038,-0.4142532,0.9422912
2.69,-0.5238419,-0.4100494,0.9338913
2.695,-0.5322266,-0.4121475,0.9443741
2.7,-0.5259399,-0.4016342,0.9275741
2.705,-0.5238419,-0.4079437,0.9317856
2.71,-0.5196533,-0.4121475,0.9318008
2.715,-0.5217514,-0.4121475,0.9338989
2.72,-0.528038,-0.4163589,0.9443969
2.725,-0.5238419,-0.4079437,0.9317856
2.73,-0.5112686,-0.3742981,0.8855667
2.735,-0.5175552,-0.3974304,0.9149856
2.74,-0.5175552,-0.4100494,0.9276046
2.745,-0.5322266,-0.418457,0.9506836
2.75,-0.5175552,-0.4142532,0.9318084
2.755,-0.5091782,-0.4163589,0.9255371
2.76,-0.5175552,-0.418457,0.9360122
2.765,-0.5112686,-0.4142532,0.9255218
2.77,-0.5217514,-0.4100494,0.9318008
2.775,-0.5196533,-0.4142532,0.9339065
2.78,-0.5196533,-0.418457,0.9381103
2.785,-0.5196533,-0.4142532,0.9339065
2.79,-0.5238419,-0.4100494,0.9338913
2.795,-0.5154648,-0.4079437,0.9234085
2.8,-0.528038,-0.4142532,0.9422912
2.805,-0.528038,-0.4142532,0.9422912
2.81,-0.5196533,-0.4163589,0.9360122
2.815,-0.5196533,-0.418457,0.9381103
2.82,-0.5112686,-0.3911209,0.9023895
2.825,-0.5217514,-0.4037399,0.9254913
2.83,-0.5238419,-0.4037399,0.9275818
2.835,-0.5154648,-0.3827133,0.8981781
2.84,-0.5238419,-0.3953247,0.9191666
2.845,-0.5196533,-0.4037399,0.9233932
2.85,-0.5217514,-0.4016342,0.9233856
2.855,-0.5217514,-0.4163589,0.9381103
2.86,-0.5133667,-0.4142532,0.9276199
2.865,-0.5217514,-0.4142532,0.9360046
2.87,-0.528038,-0.4100494,0.9380874
2.875,-0.5238419,-0.4121475,0.9359894
2.88,-0.5217514,-0.405838,0.9275894
2.885,-0.5175552,-0.4121475,0.9297027
2.89,-0.5217514,-0.4142532,0.9360046
2.895,-0.5154648,-0.4037399,0.9192047
2.9,-0.528038,-0.4037399,0.9317779
2.905,-0.5301285,-0.4142532,0.9443817
