Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                 512",6.049383331557e-02,4.254640250596e-02,1.738970737668e-02,6.218441825014e-02,5.358491258835e-02,1.943742616195e-02,1.690584934574e-03,1.103851008239e-02,2.047718785267e-03
"                 513",6.039457629089e-02,4.253552731639e-02,1.733890418174e-02,6.202020361629e-02,5.021222006200e-02,1.779981724035e-02,1.625627325403e-03,7.676692745609e-03,4.609130586095e-04
"                 514",6.029568397027e-02,4.253697520792e-02,1.737847342429e-02,6.225586603367e-02,5.452920791622e-02,1.861947764826e-02,1.960182063400e-03,1.199223270830e-02,1.241004223971e-03
"                 515",6.022343377860e-02,4.254661609809e-02,1.741117847734e-02,6.227242896309e-02,5.385331108760e-02,1.732134680141e-02,2.048995184499e-03,1.130669498951e-02,-8.983167592767e-05
"                 516",6.010594439009e-02,4.256365327526e-02,1.727752682744e-02,6.201385980704e-02,5.325190172483e-02,1.769722794367e-02,1.907915416952e-03,1.068824844957e-02,4.197011162232e-04
"                 517",6.001008945088e-02,4.258492442082e-02,1.712541729172e-02,6.222191859461e-02,5.626884879051e-02,1.729167713829e-02,2.211829143728e-03,1.368392436969e-02,1.662598465665e-04
"                 518",5.989445996086e-02,4.259083706107e-02,1.685494334069e-02,6.171580868546e-02,5.725659696926e-02,1.793062275457e-02,1.821348724603e-03,1.466575990819e-02,1.075679413883e-03
"                 519",5.973718960846e-02,4.259028225317e-02,1.649633678652e-02,6.201660234916e-02,5.673241602840e-02,1.795143299885e-02,2.279412740698e-03,1.414213377523e-02,1.455096212331e-03
"                 520",5.963984767537e-02,4.259320051556e-02,1.630036688386e-02,6.150528618441e-02,5.403302394571e-02,1.711304994134e-02,1.865438509034e-03,1.143982343016e-02,8.126830574808e-04
"                 521",5.962879538096e-02,4.258035882341e-02,1.616817634562e-02,6.145834471199e-02,5.622242073950e-02,1.548102835220e-02,1.829549331036e-03,1.364206191609e-02,-6.871479934197e-04
"                 522",5.965981282192e-02,4.257886593782e-02,1.594790421316e-02,6.126273193971e-02,5.357123342709e-02,1.665273061409e-02,1.602919117796e-03,1.099236748928e-02,7.048264009288e-04
"                 523",5.967673747893e-02,4.259819331168e-02,1.570848611265e-02,6.129449478480e-02,5.392754446308e-02,1.695822897159e-02,1.617757305879e-03,1.132935115140e-02,1.249742858942e-03
"                 524",5.969774086694e-02,4.257321479716e-02,1.537337729016e-02,6.161665157768e-02,5.185943738127e-02,1.586394601849e-02,1.918910710739e-03,9.286222584106e-03,4.905687283299e-04
"                 525",5.964604378653e-02,4.253458800742e-02,1.498865325912e-02,6.159345794234e-02,5.487695294855e-02,1.582263992812e-02,1.947414155807e-03,1.234236494114e-02,8.339866689999e-04
"                 526",5.953478633226e-02,4.253209700939e-02,1.470486793290e-02,6.078979128807e-02,5.333647484344e-02,1.514890557889e-02,1.255004955809e-03,1.080437783405e-02,4.440376459939e-04
"                 527",5.945080898402e-02,4.251951696043e-02,1.440880517186e-02,6.115768242393e-02,5.256620856294e-02,1.523760390783e-02,1.706873439912e-03,1.004669160251e-02,8.287987359760e-04
"                 528",5.946151089088e-02,4.248386590332e-02,1.419954435521e-02,6.150335927020e-02,5.066486805504e-02,1.507275190388e-02,2.041848379317e-03,8.181002151723e-03,8.732075486698e-04
"                 529",5.952551447173e-02,4.246528301880e-02,1.406252069004e-02,6.161614852271e-02,5.153253847815e-02,1.463185756346e-02,2.090634050980e-03,9.067255459349e-03,5.693368734234e-04
"                 530",5.949818562862e-02,4.245795304647e-02,1.372887935371e-02,6.141211784732e-02,5.187666666805e-02,1.477484608267e-02,1.913932218702e-03,9.418713621570e-03,1.045966728963e-03
"                 531",5.938908033101e-02,4.247169295334e-02,1.335748902038e-02,6.084149567618e-02,5.412701992324e-02,1.387668095310e-02,1.452415345169e-03,1.165532696991e-02,5.191919327269e-04
"                 532",5.917321920687e-02,4.248477403722e-02,1.306895752922e-02,6.066331687380e-02,5.560075765600e-02,1.367436204484e-02,1.490097666931e-03,1.311598361879e-02,6.054045156185e-04
"                 533",5.896840446917e-02,4.247275611690e-02,1.285058660143e-02,6.057231700192e-02,5.179223550079e-02,1.390615722904e-02,1.603912532757e-03,9.319479383890e-03,1.055570627605e-03
"                 534",5.883566925858e-02,4.241840574068e-02,1.264079615231e-02,6.028089410883e-02,5.443034367161e-02,1.400227066002e-02,1.445224850247e-03,1.201193793093e-02,1.361474507706e-03
"                 535",5.879520178883e-02,4.236857652422e-02,1.257379629256e-02,5.996308370621e-02,5.323471954476e-02,1.309535999788e-02,1.167881917379e-03,1.086614302054e-02,5.215637053174e-04
