Time (s),PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                 600",8.390920165850e-04,-1.618788135537e-03,1.986074081617e-03,2.678349150910e-04,-1.660714895163e-03,2.156752661246e-03,-5.712571014940e-04,-4.192675962626e-05,1.706785796285e-04
"                 601",9.074742219516e-04,-1.615273543025e-03,1.979480483259e-03,2.931493068367e-04,-1.615244270812e-03,2.118831968474e-03,-6.143249151149e-04,2.927221349194e-08,1.393514852148e-04
"                 602",9.625105093464e-04,-1.610631875670e-03,1.974762835262e-03,5.549133961050e-04,-1.667685989601e-03,2.178936187577e-03,-4.075971132415e-04,-5.705411393092e-05,2.041733523143e-04
"                 603",1.042311060547e-03,-1.607446010322e-03,1.966175381018e-03,6.781720913235e-04,-1.664880902082e-03,2.184726551842e-03,-3.641389692236e-04,-5.743489176073e-05,2.185511708239e-04
"                 604",1.011153341394e-03,-1.594833295821e-03,1.968499626279e-03,7.574188747732e-04,-1.691542701167e-03,2.192645279241e-03,-2.537344666205e-04,-9.670940534631e-05,2.241456529619e-04
"                 605",9.971423990896e-04,-1.595968509518e-03,1.977123342999e-03,5.405733845224e-04,-1.656035984575e-03,2.159672386906e-03,-4.565690145672e-04,-6.006747505628e-05,1.825490439068e-04
"                 606",9.789934132597e-04,-1.602298554641e-03,1.991901893465e-03,6.885217689111e-04,-1.653287474188e-03,2.150543267660e-03,-2.904716443486e-04,-5.098891954700e-05,1.586413741956e-04
"                 607",9.580410879954e-04,-1.611343891149e-03,2.000224604088e-03,5.545213437190e-04,-1.685184058730e-03,2.303307380387e-03,-4.035197442764e-04,-7.384016758125e-05,3.030827762984e-04
"                 608",9.145143931502e-04,-1.616844654421e-03,2.001761936194e-03,4.702767245270e-04,-1.675476728453e-03,2.298543527273e-03,-4.442376686232e-04,-5.863207403207e-05,2.967815910789e-04
"                 609",9.235795446724e-04,-1.623379971215e-03,1.994726877254e-03,6.228503088501e-04,-1.681161312271e-03,2.194859290587e-03,-3.007292358223e-04,-5.778134105629e-05,2.001324133326e-04
"                 610",9.256306134319e-04,-1.628135545459e-03,1.987981828583e-03,6.102122146705e-04,-1.674832327217e-03,2.099934527357e-03,-3.154183987614e-04,-4.669678175750e-05,1.119526987740e-04
"                 611",9.211571810540e-04,-1.638289566315e-03,1.974566739230e-03,5.833567502355e-04,-1.718577354805e-03,2.237509597650e-03,-3.378004308185e-04,-8.028778849057e-05,2.629428584192e-04
"                 612",8.932694718838e-04,-1.642832448735e-03,1.977647525041e-03,4.165036316826e-04,-1.726294443793e-03,2.232554577757e-03,-4.767658402012e-04,-8.346199505779e-05,2.549070527156e-04
"                 613",8.692772540776e-04,-1.659812778334e-03,1.966348709272e-03,5.537329742215e-04,-1.713979114905e-03,2.209642152920e-03,-3.155442798561e-04,-5.416633657063e-05,2.432934436485e-04
"                 614",8.594374689604e-04,-1.675776121016e-03,1.942198930002e-03,5.486195452968e-04,-1.735933716845e-03,2.232161129131e-03,-3.108179236636e-04,-6.015759582904e-05,2.899621991292e-04
"                 615",9.368248964192e-04,-1.695299851356e-03,1.905772751084e-03,6.200920963275e-04,-1.773809958061e-03,2.138993238339e-03,-3.167328000917e-04,-7.851010670557e-05,2.332204872554e-04
"                 616",9.793385866471e-04,-1.709912590756e-03,1.877269206207e-03,6.282123562438e-04,-1.753780197030e-03,2.065712093428e-03,-3.511262304033e-04,-4.386760627340e-05,1.884428872211e-04
"                 617",1.051340029420e-03,-1.734149738776e-03,1.838974301254e-03,5.460272441048e-04,-1.777636602236e-03,2.062822949021e-03,-5.053127853151e-04,-4.348686345952e-05,2.238486477677e-04
"                 618",1.073559023840e-03,-1.754329197791e-03,1.807138323898e-03,5.529773705194e-04,-1.768568608748e-03,2.014739810567e-03,-5.205816533203e-04,-1.423941095760e-05,2.076014866691e-04
"                 619",1.089002309921e-03,-1.778791665047e-03,1.764128726518e-03,6.530945162012e-04,-1.840498997080e-03,1.990493101899e-03,-4.359077937193e-04,-6.170733203216e-05,2.263643753817e-04
"                 620",1.055782371901e-03,-1.788410204222e-03,1.710610464897e-03,4.130503264829e-04,-1.913499765071e-03,1.661613280684e-03,-6.427320454183e-04,-1.250895608484e-04,-4.899718421228e-05
"                 621",1.153645777187e-03,-1.818906916291e-03,1.628057363626e-03,7.400350196281e-04,-1.886153355208e-03,1.766884603808e-03,-4.136107575587e-04,-6.724643891655e-05,1.388272401826e-04
"                 622",1.168786452732e-03,-1.833339446916e-03,1.546438756982e-03,9.089471959618e-04,-1.926107340452e-03,1.900151561670e-03,-2.598392567698e-04,-9.276789353690e-05,3.537128046877e-04
"                 623",1.219641987835e-03,-1.853484083702e-03,1.480483355707e-03,9.581304388228e-04,-1.943473698499e-03,1.739590875411e-03,-2.615115490121e-04,-8.998961479638e-05,2.591075197043e-04
"                 624",1.257882481218e-03,-1.868773606881e-03,1.424643007859e-03,9.222339495930e-04,-1.928908247523e-03,1.683674787547e-03,-3.356485316253e-04,-6.013464064214e-05,2.590317796878e-04
"                 625",1.212733859076e-03,-1.861027826338e-03,1.382898665278e-03,7.668322235898e-04,-2.010807280172e-03,1.338836465533e-03,-4.459016354861e-04,-1.497794538338e-04,-4.406219974449e-05
"                 626",1.277861307396e-03,-1.871348762992e-03,1.338749699471e-03,9.265344342782e-04,-1.981716597137e-03,1.583826600498e-03,-3.513268731181e-04,-1.103678341449e-04,2.450769010264e-04
"                 627",1.301854659228e-03,-1.875471110503e-03,1.303226955423e-03,7.898464817016e-04,-1.959400417404e-03,1.643795415314e-03,-5.120081775266e-04,-8.392930690030e-05,3.405684598905e-04
"                 628",1.328039505173e-03,-1.875341483160e-03,1.275951035045e-03,9.798075139506e-04,-1.923760434651e-03,1.522296816139e-03,-3.482319912222e-04,-4.841895149033e-05,2.463457810942e-04
"                 629",1.321359739033e-03,-1.868429022962e-03,1.249800554200e-03,8.879211681311e-04,-1.978914297114e-03,1.416421746929e-03,-4.334385709023e-04,-1.104852741514e-04,1.666211927297e-04
"                 630",1.404262392964e-03,-1.876157831913e-03,1.222968029790e-03,1.152210480548e-03,-1.985457275168e-03,1.465424612028e-03,-2.520519124166e-04,-1.092994432550e-04,2.424565822380e-04
"                 631",1.503154660792e-03,-1.873122462467e-03,1.205488580700e-03,1.058804040391e-03,-1.917836771101e-03,1.406540022622e-03,-4.443506204011e-04,-4.471430863360e-05,2.010514419222e-04
"                 632",1.506719990334e-03,-1.855532929223e-03,1.187795642858e-03,1.183965395989e-03,-1.935613534358e-03,1.521010578576e-03,-3.227545943458e-04,-8.008060513535e-05,3.332149357187e-04
"                 633",1.448641640133e-03,-1.830791351310e-03,1.184128006227e-03,9.975639418835e-04,-2.018760312292e-03,1.141992385785e-03,-4.510776982492e-04,-1.879689609819e-04,-4.213562044268e-05
"                 634",1.464675332199e-03,-1.828636205833e-03,1.195016389415e-03,1.073862820315e-03,-1.934318203209e-03,1.390151955434e-03,-3.908125118837e-04,-1.056819973757e-04,1.951355660185e-04
"                 635",1.436605263162e-03,-1.821829239431e-03,1.216051968880e-03,1.041692848987e-03,-1.928322789304e-03,1.276497337492e-03,-3.949124141750e-04,-1.064935498729e-04,6.044536861201e-05
"                 636",1.379692622978e-03,-1.807441733173e-03,1.253656143093e-03,1.056794212205e-03,-1.837580111623e-03,1.305040980130e-03,-3.228984107734e-04,-3.013837845051e-05,5.138483703745e-05
"                 637",1.387335741745e-03,-1.775040468159e-03,1.283485529396e-03,9.992361736624e-04,-1.973854570729e-03,1.268989597060e-03,-3.880995680824e-04,-1.988141025695e-04,-1.449593233549e-05
"                 638",1.449211220054e-03,-1.761799775273e-03,1.319799561676e-03,9.472101809711e-04,-1.849077065014e-03,1.446801772105e-03,-5.020010390831e-04,-8.727728974113e-05,1.270022104295e-04
"                 639",1.467235456621e-03,-1.746233409691e-03,1.350811735980e-03,1.023363812421e-03,-1.774093856179e-03,1.553123721086e-03,-4.438716441999e-04,-2.786044648851e-05,2.023119851060e-04
"                 640",1.432845270210e-03,-1.723363855036e-03,1.385015801372e-03,1.101256447957e-03,-1.778672795063e-03,1.578804278814e-03,-3.315888222532e-04,-5.530894002712e-05,1.937884774417e-04
"                 641",1.293931775402e-03,-1.695997279184e-03,1.421062679644e-03,8.195677827847e-04,-1.888350564841e-03,1.413495021837e-03,-4.743639926177e-04,-1.923532856565e-04,-7.567657806160e-06
"                 642",1.243509724582e-03,-1.693937031986e-03,1.477532259032e-03,6.794837915296e-04,-1.804402675276e-03,1.613736197837e-03,-5.640259330524e-04,-1.104656432898e-04,1.362039388049e-04
"                 643",1.191187523975e-03,-1.685669230365e-03,1.532612978124e-03,8.147075869735e-04,-1.758257373289e-03,1.767340830280e-03,-3.764799370018e-04,-7.258814292424e-05,2.347278521558e-04
"                 644",1.144653246776e-03,-1.679977328993e-03,1.579187473641e-03,8.084210124638e-04,-1.754845664958e-03,1.826641426762e-03,-3.362322343122e-04,-7.486833596535e-05,2.474539531209e-04
